Model,Parameters,Score
XGB,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 6, 'learning_rate': 0.1}",0.9723013174411662
RF,"{'n_estimators': 200, 'max_features': 'auto', 'max_depth': 10}",0.9544285766516765
